1,2019,1,1,0,38.28,117.8,3.89,0,2,3,0.53,0
48,2019,1,1,6,1.5,127.62,4.95,1,2,1,8.53,0
73,2019,1,1,45,-3.38,135.5,4.95,0,3,1,2.38,0
56,2019,1,1,56,-3.38,135.5,4.95,0,3,1,2.6,0
57,2019,1,1,56,-4.54,136.88,4.94,0,2,1,4.34,0
58,2019,1,1,56,-4.56,136.88,4.94,0,2,1,4.49,0
20,2019,1,1,108,-3.36,135.52,4.95,0,3,1,2.89,0
21,2019,1,1,108,-4.56,136.88,4.94,0,3,1,3.53,0
34,2019,1,1,124,1.12,124.74,4.96,0,1,5,30.46,0
35,2019,1,1,124,1.1,124.74,4.96,0,2,3,11.97,0
36,2019,1,1,124,-4.56,136.88,4.94,0,3,1,3.31,0
29,2019,1,1,153,0.92,104.48,4.96,0,3,1,1.93,0
41,2019,1,1,204,0.92,104.48,4.96,0,3,1,1.9,0
42,2019,1,1,204,-0.9,131.32,4.96,0,3,1,4.13,0
60,2019,1,1,215,-0.9,131.3,4.96,0,3,1,3.52,0
61,2019,1,1,215,-3.38,135.5,4.95,0,3,1,3.9,0
49,2019,1,1,226,-0.28,102.88,4.96,0,3,1,3.1,0
50,2019,1,1,226,-0.28,102.9,4.96,0,3,1,3.1,0
51,2019,1,1,226,-4.56,136.88,4.94,0,2,1,9.23,0
43,2019,1,1,238,-3.38,135.5,4.95,0,3,1,4.06,0
44,2019,1,1,238,-7.64,111.52,4.91,0,3,1,3.54,0
50,2019,1,1,254,-2.22,113.9,4.95,0,3,1,2.34,0
51,2019,1,1,254,-3.38,135.5,4.95,0,3,1,3.91,0
73,2019,1,1,306,-0.86,134.06,4.96,0,3,1,3.98,0
96,2019,1,1,317,0.8,127.36,4.96,0,3,3,6.33,0
97,2019,1,1,317,0.78,127.36,4.96,0,3,3,6.6,0
98,2019,1,1,317,-0.86,134.06,4.96,0,3,1,5.16,0
99,2019,1,1,317,-3.38,135.5,4.95,0,3,1,3.98,0
121,2019,1,1,323,0.8,127.36,4.96,0,3,1,5.9,0
122,2019,1,1,323,0.78,127.36,4.96,0,3,1,5.9,0
141,2019,1,1,334,2.24,102.22,4.95,0,2,3,1.73,0
142,2019,1,1,334,2.22,102.24,4.95,0,2,3,1.96,0
143,2019,1,1,334,2.22,102.26,4.95,0,2,3,1.96,0
144,2019,1,1,334,0.8,127.36,4.96,0,2,3,6.51,0
117,2019,1,1,345,2.26,102.28,4.95,0,2,3,5.43,0
118,2019,1,1,345,-0.9,131.32,4.96,0,3,1,5.05,0
131,2019,1,1,356,2.24,102.24,4.95,0,2,3,5.0,0
132,2019,1,1,356,2.24,102.26,4.95,0,2,3,5.0,0
133,2019,1,1,356,0.16,102.68,4.96,0,3,3,6.22,0
134,2019,1,1,356,-0.9,131.3,4.96,0,3,3,4.45,0
135,2019,1,1,356,-0.9,131.32,4.96,0,3,1,5.19,0
136,2019,1,1,356,-3.38,135.5,4.95,0,3,1,4.07,0
116,2019,1,1,408,0.16,102.68,4.96,0,3,3,5.02,0
117,2019,1,1,408,-0.9,131.32,4.96,0,3,1,4.97,0
160,2019,1,1,413,4.28,117.88,4.94,0,2,1,3.74,0
161,2019,1,1,413,0.68,102.88,4.96,0,3,1,3.89,0
162,2019,1,1,413,0.68,102.9,4.96,0,3,1,3.88,0
163,2019,1,1,413,-0.9,131.32,4.96,0,3,1,4.91,0
168,2019,1,1,424,0.48,102.18,4.96,0,3,1,4.42,0
169,2019,1,1,424,-0.9,131.32,4.96,0,3,1,4.97,0
144,2019,1,1,436,-0.9,131.32,4.96,0,3,1,5.18,0
159,2019,1,1,453,-0.86,134.06,4.96,0,3,1,4.34,0
160,2019,1,1,453,-0.9,131.32,4.96,0,3,1,4.65,0
161,2019,1,1,458,-4.56,136.88,4.94,0,2,1,3.38,0
160,2019,1,1,504,-0.86,134.06,4.96,0,3,1,4.45,0
161,2019,1,1,504,-0.9,131.3,4.96,0,3,1,4.44,0
162,2019,1,1,504,-0.9,131.32,4.96,0,3,1,4.72,0
163,2019,1,1,504,-4.56,136.88,4.94,0,2,1,3.16,0
120,2019,1,1,515,4.48,97.96,4.94,0,3,1,3.64,0
121,2019,1,1,515,-0.28,102.88,4.96,0,3,3,5.04,0
122,2019,1,1,515,-0.28,102.9,4.96,0,3,3,5.04,0
123,2019,1,1,515,-0.86,134.06,4.96,0,3,1,4.39,0
118,2019,1,1,526,4.48,97.96,4.94,0,3,1,3.6,0
119,2019,1,1,526,1.16,104.56,4.96,0,3,5,8.76,0
120,2019,1,1,526,-0.4,102.7,4.96,0,2,3,4.54,0
121,2019,1,1,526,-0.4,102.72,4.96,0,2,3,4.54,0
122,2019,1,1,526,-0.86,134.06,4.96,0,3,1,4.84,0
117,2019,1,1,538,-0.86,134.06,4.96,0,3,1,4.38,0
134,2019,1,1,543,-0.52,102.66,4.96,0,3,1,3.14,0
135,2019,1,1,543,-0.86,134.06,4.96,0,3,1,3.89,0
145,2019,1,1,634,1.04,103.94,4.96,0,3,1,4.29,0
133,2019,1,1,645,0.5,101.44,4.96,0,2,1,4.76,0
176,2019,1,1,923,1.62,101.26,4.95,0,1,3,37.04,0
171,2019,1,1,934,1.62,101.26,4.95,0,2,3,27.74,0
154,2019,1,1,1047,1.62,101.26,4.95,0,2,3,16.49,0
141,2019,1,1,1053,1.62,101.26,4.95,0,2,3,4.91,0
164,2019,1,1,1104,1.62,101.26,4.95,0,1,3,58.53,0
165,2019,1,1,1104,1.62,101.28,4.95,0,2,1,6.11,0
